,Name,Rating,Review_Count,Tags
0,TCS,3.7,(90.5k),IT Services & Consulting | Bangalore / Bengaluru +390 other locations
1,Accenture,3.8,(57k),IT Services & Consulting | Bangalore / Bengaluru +205 other locations
2,Wipro,3.7,(53.5k),IT Services & Consulting | Bangalore / Bengaluru +342 other locations
3,Cognizant,3.7,(50.6k),IT Services & Consulting | Chennai +192 other locations
4,Capgemini,3.7,(42.1k),IT Services & Consulting | Bangalore / Bengaluru +168 other locations
5,HDFC Bank,3.9,(40k),Banking | Mumbai +1659 other locations
6,Infosys,3.6,(39.7k),IT Services & Consulting | Bangalore / Bengaluru +214 other locations
7,ICICI Bank,4.0,(38.4k),Banking | Mumbai +1355 other locations
8,HCLTech,3.5,(36.5k),IT Services & Consulting | Chennai +209 other locations
9,Tech Mahindra,3.5,(35.4k),IT Services & Consulting | Hyderabad / Secunderabad +294 other locations
10,Genpact,3.8,(31.8k),IT Services & Consulting | Hyderabad / Secunderabad +142 other locations
11,Teleperformance,3.9,(30k),BPO | Mumbai +211 other locations
12,Concentrix Corporation,3.8,(26.6k),BPO | Bangalore / Bengaluru +147 other locations
13,Axis Bank,3.8,(25.7k),Banking | Mumbai +1388 other locations
14,Amazon,4.1,(25.3k),Internet | Bangalore / Bengaluru +466 other locations
15,Jio,3.9,(23.2k),Telecom | Mumbai +1285 other locations
16,iEnergizer,4.6,(22.6k),BPO | Noida +40 other locations
17,Reliance Retail,3.9,(22.6k),Retail | Mumbai +1059 other locations
18,IBM,4.0,(22.2k),IT Services & Consulting | Bangalore / Bengaluru +157 other locations
19,LTIMindtree,3.8,(21.2k),IT Services & Consulting | Bangalore / Bengaluru +128 other locations
